nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0431049	Dereck Joubert	\N	\N	producer,cinematographer,writer	tt1692928
nm0432601	Woo-sung Jung	1973	\N	actor,producer	tt0428870
nm0432753	Caio Junqueira	1976	\N	actor	tt0861739
nm0433339	Nancy Juvonen	1967	\N	producer,writer,actress	tt0246578
nm0433347	Audrius Juzenas	1963	\N	director,editor,producer	tt3274484
nm0433392	Jyothika	1978	\N	actress	tt0455829,tt1034053
nm0433893	K.S. Ravikumar	\N	\N	director,actor,writer	tt0385928
nm0434263	Kishore Kadam	\N	\N	actor,music_department,writer	tt1590129,tt2827320
nm0435942	Tracey Birdsall	1963	\N	actress,producer,writer	tt5161204
nm0437625	Je-kyu Kang	1962	\N	writer,producer,director	tt0386064
nm0438090	Asif Kapadia	1972	\N	director,writer,producer	tt1424432
nm0438463	Anil Kapoor	1956	\N	actor,producer,music_department	tt1010048
nm0438470	Boney Kapoor	1953	\N	producer,miscellaneous	tt0296574
nm0438488	Pankaj Kapur	1954	\N	actor,director,writer	tt0379370
nm0438494	Rajat Kapoor	1961	\N	actor,director,writer	tt3614516,tt4430212
nm0438632	Ram Kapoor	1973	\N	actor	tt0411469,tt2976176
nm0439292	Nelly Karim	1974	\N	actress	tt3461252
nm0439784	Girish Karnad	1938	\N	actor,writer,director	tt0824316
nm0440604	Anurag Kashyap	1972	\N	producer,writer,director	tt0400234,tt1261047,tt1327035,tt1954470,tt2181831,tt2882328,tt3322420,tt4635372,tt7180544
nm0441097	Anthony Katagas	\N	\N	producer,production_manager,assistant_director	tt2024544
nm0441365	Kazuko Katô	1958	\N	actress	tt0494724
nm0441411	Yoshihiro Kato	\N	\N	producer,miscellaneous	tt1087578
nm0442207	Lloyd Kaufman	1945	\N	actor,producer,director	tt3039472
nm0442337	Morten Kaufmann	1963	\N	producer,production_manager,assistant_director	tt2106476
nm0442479	Satish Kaushik	1956	\N	actor,director,producer	tt2976176
nm0443221	Bülent Kayabas	1945	2017	actor,writer,assistant_director	tt0425333
nm0443411	Tony Kaye	1952	\N	director,cinematographer,producer	tt0841119
nm0444324	Maged El-Kidwani	1967	\N	actor	tt1826603
nm0445169	Max Keiser	\N	\N	producer	tt1781069
nm0446819	Richard Kelly	1975	\N	writer,producer,director	tt0246578
nm0448204	Maria Doyle Kennedy	1964	\N	actress,soundtrack,director	tt3544112
nm0451148	Aamir Khan	1965	\N	actor,producer,soundtrack	tt0169102,tt0405508,tt0986264,tt1187043,tt2338151,tt5074352,tt6108090
nm0451174	Arshad Warsi	1968	\N	actor,writer,assistant_director	tt0456144
nm0451215	Gauri Khan	1970	\N	producer,costume_department,costume_designer	tt1188996
nm0451234	Irrfan Khan	1967	\N	actor,producer,director	tt0379370,tt1620933,tt4934950
nm0451307	Saif Ali Khan	1970	\N	actor,producer,soundtrack	tt0488414
nm0451321	Shah Rukh Khan	1965	\N	actor,producer,soundtrack	tt0222012,tt0367110,tt0871510,tt1188996
nm0451561	Sachin Khedekar	1965	\N	actor,miscellaneous	tt1430836
nm0451600	Anupam Kher	1955	\N	actor,producer,music_department	tt0466460,tt1280558,tt2377938
nm0451601	Kiron Kher	1955	\N	actress,costume_department	tt3607198
nm0452817	Kirin Kiki	1943	2018	actress	tt8075192
nm0453091	Jon Kilik	1956	\N	producer,assistant_director,production_manager	tt0401383
nm0453617	Moo-Ryoung Kim	\N	\N	producer	tt1499666
nm0454120	Takuya Kimura	1972	\N	actor,soundtrack	tt0347149
nm0454697	Encke King	\N	\N	editor,writer,producer	tt0379357
nm0454752	Graham King	1961	\N	producer,executive	tt0407887,tt0450259,tt1727824
nm0456077	Güven Kiraç	1968	\N	actor,producer,soundtrack	tt0347048
nm0457410	Ravi Kishan	1971	\N	actor	tt7180544
nm0457715	A. Kitman Ho	1950	\N	producer,production_manager,assistant_director	tt0395169
nm0460534	Brian Knappenberger	\N	\N	producer,director,camera_department	tt3268458
nm0461136	Keira Knightley	1985	\N	actress,soundtrack,producer	tt0325980,tt2084970
nm0462407	Sebastian Koch	1962	\N	actor,soundtrack	tt0405094
nm0463539	Manisha Koirala	1970	\N	actress,producer	tt0296574,tt6452574
nm0463842	Cédomir Kolar	\N	\N	producer,assistant_director,executive	tt0283509
nm0464526	Stephan Komandarev	1966	\N	director,writer,producer	tt1178197
nm0466153	Hirokazu Koreeda	1962	\N	director,writer,editor	tt0408664,tt1087578,tt8075192
nm0466428	Jacob Kornbluth	1972	\N	producer,director,assistant_director	tt2215151
nm0467255	Andrew A. Kosove	\N	\N	producer,executive	tt1392214,tt1856101
nm0469813	Tony Krantz	\N	\N	producer,director,writer	tt0166924
nm0470981	Thomas Kretschmann	1962	\N	actor	tt0253474
nm0471430	Raja Krishnamoorthy	\N	\N	actor,director	tt1609168
nm0471447	Ramya Krishnan	1970	\N	actress,soundtrack	tt0385928,tt2631186
nm0472164	Barbara Kroner	1934	2003		tt0278736
nm0473549	Toshiyuki Kubooka	\N	\N	animation_department,art_department,director	tt2358913
nm0473585	Katharina Kubrick	1953	\N	actress,art_department,location_management	tt0278736
nm0473936	Kurt Kuenne	\N	\N	composer,director,editor	tt1152758
nm0474398	Nagesh Kukunoor	\N	\N	director,writer,actor	tt0453729,tt0824316,tt2976176,tt4088588
nm0474492	Agata Kulesza	1971	\N	actress	tt6543652
nm0474609	Atul Kulkarni	1965	\N	actor	tt1590129,tt3320542
nm0474774	Akshay Kumar	1967	\N	actor,producer,soundtrack	tt0242519,tt2283748,tt2377938,tt3848892,tt4387040,tt7218518
nm0474824	Krishan Kumar	\N	\N	producer,director,actor	tt3848892
nm0474871	Sai Kumar	\N	\N	actor,music_department,art_director	tt1603362,tt4432480
nm0475752	Chiaki Kuriyama	1984	\N	actress,soundtrack	tt6019206
nm0476334	Fikret Kuskan	1965	\N	actor	tt0476735
nm0476814	Yuriy Kuznetsov	1946	\N	actor	tt0851577
nm0477810	Juliane Köhler	1965	\N	actress,make_up_department	tt0363163
nm0482285	Lakshmi	1952	\N	actress,director	tt1417299
nm0482320	Mohanlal	1960	\N	actor,music_department,producer	tt0296574,tt0483180,tt1417299,tt3417422
nm0482628	Ka Tung Lam	1967	\N	actor,producer,writer	tt1220719
nm0482774	Joel Lamangan	\N	\N	director,actor,writer	tt5046534
nm0484123	David Lancaster	\N	\N	producer,assistant_director	tt2582802
nm0484399	Niki Lauda	1949	\N		tt2518788
nm0484504	Vincent Landay	\N	\N	producer,miscellaneous,assistant_director	tt1798709
nm0487166	Yorgos Lanthimos	1973	\N	director,writer,producer	tt5083738
nm0487884	Alexandra Maria Lara	1978	\N	actress	tt0363163,tt1979320
nm0488917	Thomas Bo Larsen	1963	\N	actor,stunts	tt2106476
nm0488953	Brie Larson	1989	\N	actress,soundtrack,miscellaneous	tt2370248,tt3170832
nm0489876	James Lassiter	\N	\N	producer,manager,music_department	tt0454921
nm0491259	Mélanie Laurent	1983	\N	actress,director,writer	tt0361748,tt4449576
nm0494504	Anne Le Ny	\N	\N	actress,writer,director	tt1675434
nm0497249	Eun-ju Lee	1980	2005	actress	tt0386064
nm0497565	John H. Lee	\N	\N	director,writer,editor	tt0428870
nm0502208	Lise Lense-Møller	\N	\N	producer,production_manager,miscellaneous	tt1333634
nm0502425	Melissa Leo	1960	\N	actress,producer,executive	tt1392214
nm0503567	Logan Lerman	1992	\N	actor,producer	tt1659337
nm0503635	Murray Lerner	1927	2017	director,producer,writer	tt0462441
nm0504720	Shannon Leto	1970	\N	actor,soundtrack	tt2370718
nm0506357	Bruno Levy	\N	\N	producer,casting_director,casting_department	tt4449576
nm0507592	Norm Lewis	1963	\N	actor,soundtrack,art_department	tt1754109
nm0509414	Todd Lieberman	\N	\N	producer,executive	tt2543472
nm0509820	Alex Lifeson	1953	\N	soundtrack,actor,composer	tt1545103
nm0511541	Damon Lindelof	1973	\N	writer,producer,miscellaneous	tt0796366
nm0513165	Art Linson	1942	\N	producer,writer,director	tt0758758
nm0515283	Peter R. Livingston Jr.	\N	\N	editor,producer,camera_department	tt2004304
nm0516093	Norman Lloyd	1914	\N	producer,actor,director	tt0379730
nm0517054	Rifka Lodeizen	1972	\N	actress,writer,casting_director	tt0393775
nm0520749	Robert Lorenz	\N	\N	assistant_director,producer,director	tt0327056,tt1205489
nm0521730	Robin Lough	\N	\N	director,producer,writer	tt4476736
nm0524240	Matt Lucas	1974	\N	actor,writer,producer	tt1754109
nm0526732	Pavel Lungin	1949	\N	writer,director,producer	tt0851577
nm0526917	Daniel Lupi	\N	\N	producer,production_manager,miscellaneous	tt0469494
nm0527322	Branko Lustig	1932	\N	production_manager,producer,assistant_director	tt0172495
nm0530365	Sergi López	1965	\N	actor,soundtrack	tt0457430
nm0530807	Saravanan M.	\N	\N	producer	tt1613040
nm0530814	Guhan M.S.	\N	\N	producer	tt1613040
nm0531817	Kevin Macdonald	1967	\N	director,producer,writer	tt0379557,tt1183919
nm0533583	Cameron Mackintosh	1946	\N	producer,miscellaneous,writer	tt2077886
nm0534852	Nandu Madhav	\N	\N	actor	tt1524539,tt1830802
nm0534856	Madhavan	1970	\N	actor,writer,producer	tt0242256,tt0312859,tt0367495,tt1187043,tt1430836,tt6148156
nm0534858	Kavya Madhavan	1984	\N	actress,music_department,soundtrack	tt0867145
nm0536708	Shankar Mahadevan	1967	\N	music_department,soundtrack,composer	tt5190958
nm0538855	Horatiu Malaele	1952	\N	actor,director,writer	tt1194620
nm0539497	Pavan Malhotra	1958	\N	actor,costume_department,production_manager	tt0400234,tt2356180,tt3607198
nm0539562	Art Malik	1952	\N	actor,producer	tt2356180
nm0540148	Emmett Malloy	\N	\N	director,producer,music_department	tt1487275
nm0540441	Jena Malone	1984	\N	actress,soundtrack,producer	tt0246578
nm0541035	Nasira Mambetova	\N	\N	actress	tt2640460
nm0541136	Pyotr Mamonov	1951	\N	actor	tt0851577
nm0542498	Mahesh Manjrekar	1953	\N	actor,writer,director	tt5311546
nm0543547	Predrag 'Miki' Manojlovic	1950	\N	actor,director,miscellaneous	tt1178197
nm0544718	Kate Mara	1983	\N	actress,soundtrack,producer	tt3659388
nm0546192	Steven Marcus	1928	2018		tt0278736
nm0549138	Rita Marley	1946	\N	soundtrack,actress,producer	tt1183919
nm0549283	James Marlowe	\N	\N	location_management,producer,writer	tt0419781
nm0555404	María Marull	1973	\N	actress,writer	tt3011894
nm0556094	Masayuki	1961	\N	animation_department,assistant_director,art_department	tt0860906
nm0557859	Chiara Mastroianni	1972	\N	actress,soundtrack	tt0808417
nm0558593	Joy Mathew	1961	\N	actor,writer,director	tt4928620
nm0559486	Yoneko Matsukane	1949	\N	actress	tt0494724
nm0559526	Ken Matsumoto	\N	\N	producer,director,miscellaneous	tt1260502
nm0559890	Ulrich Matthes	1959	\N	actor	tt0363163
nm0562287	Sam Maydew	\N	\N	producer,manager,miscellaneous	tt2473476
nm0564215	James McAvoy	1979	\N	actor,soundtrack,producer	tt1877832
nm0564587	John McCain	1936	2018	actor,writer	tt0436971
nm0565336	Tom McCarthy	1966	\N	actor,producer,writer	tt1895587
nm0566406	Kevin McCorkle	1958	\N	actor,producer,miscellaneous	tt2170667
nm0566919	Kim McCraw	\N	\N	producer,miscellaneous	tt1255953
nm0568544	Stephen McEveety	1954	\N	producer,assistant_director,actor	tt1277737
nm0571493	Bryan McKenzie	1958	\N	editor,editorial_department,sound_department	tt0379730
nm0572014	Sean McKittrick	1975	\N	producer,executive	tt0246578
nm0573503	John McMurtry	\N	\N	actor	tt1781069
nm0573726	Robert McNamara	1916	2009		tt0317910
nm0574534	Ian McShane	1942	\N	actor,director,producer	tt3576728
nm0574625	James McTeigue	\N	\N	assistant_director,director,art_department	tt0434409
nm0576169	Meena	\N	\N	actress	tt3417422,tt3810932
nm0576554	Hansal Mehta	\N	\N	director,producer,writer	tt2181831
nm0576559	Ketan Mehta	1952	\N	director,writer,producer	tt3449292
nm0576987	Fernando Meirelles	1955	\N	producer,director,writer	tt1789810
nm0580727	Khalid Marie	\N	\N	director,editor	tt1282371
nm0582677	Don Metz	\N	\N	producer,cinematographer,camera_department	tt1778338
nm0586326	Mikela Jay	\N	\N	actress,miscellaneous,editor	tt0379225
nm0586546	Valerie Mikita	\N	\N	actress,producer	tt0419781
nm0586568	Mads Mikkelsen	1965	\N	actor,producer,soundtrack	tt2106476
nm0586969	Arnon Milchan	1944	\N	producer,miscellaneous,actor	tt1663202,tt2267998
nm0587523	Boris Milivojevic	1971	\N	actor	tt0383846
nm0588340	Frank Miller	1957	\N	writer,actor,producer	tt0401792
nm0588533	James Miller	1968	2003	director,cinematographer,camera_department	tt0412631
nm0592782	Akhilendra Mishra	1962	\N	actor	tt0319736
nm0592799	Sanjay Mishra	\N	\N	actor,camera_department,composer	tt3614516,tt4635372
nm0592803	Sudhir Mishra	\N	\N	writer,director,actor	tt0411469
nm0592855	Péter Miskolczi	\N	\N	producer,production_manager,miscellaneous	tt2243299
nm0593294	Doug Mitchell	\N	\N	producer,miscellaneous	tt1392190
nm0594074	Kotono Mitsuishi	1967	\N	actress,soundtrack	tt0860906
nm0594271	Akihiro Miwa	1935	\N	actor,soundtrack,executive	tt0347149
nm0594436	Yûko Miyamura	1972	\N	actress,soundtrack	tt0860906
nm0594497	Aoi Miyazaki	1985	\N	actress,soundtrack	tt2140203
nm0594503	Hayao Miyazaki	1941	\N	animation_department,director,writer	tt0347149
nm0595866	Manouchehr Mohammadi	\N	\N	producer,writer	tt0416960
nm0595934	Mohan Babu	1950	\N	actor,producer,director	tt0925130,tt0929620
nm0598671	Shaun Monson	\N	\N	director,sound_department,actor	tt0358456
nm0600668	So-Ri Moon	1974	\N	actress,director,writer	tt4016934
nm0601619	Michael Moore	1954	\N	director,producer,writer	tt0310793,tt0386032
nm0601781	Rich Moore	1963	\N	miscellaneous,director,art_department	tt2948356
nm0603402	Jeanne Moreau	1928	2017	actress,soundtrack,director	tt0493393
nm0606640	Jim Morris	\N	\N	visual_effects,miscellaneous,producer	tt0910970
nm0606835	Nick Morris	\N	\N	director,editor,producer	tt1754109,tt2077886
nm0606924	Sarah Jane Morris	1977	\N	actress,producer	tt3722234
nm0607185	Jennifer Morrison	1979	\N	actress,producer,director	tt1291584
nm0607865	Emily Mortimer	1971	\N	actress,writer,producer	tt1130884
nm0609212	Matías Mosteirín	1974	\N	producer,miscellaneous,production_manager	tt3011894
nm0609310	Fatemah Motamed-Aria	1961	\N	actress	tt1874522
nm0609403	Masahiro Motoki	1965	\N	actor	tt1069238
nm0609944	Wagner Moura	1976	\N	actor,soundtrack,music_department	tt0861739,tt1555149
nm0610831	Gabriele Muccino	1967	\N	director,writer,producer	tt0454921
nm0611552	Rani Mukerji	1978	\N	actress	tt0222012,tt0375611
nm0611979	Larry Mullen Jr.	1961	\N	soundtrack,composer,actor	tt0892375
nm0613514	Murali Mohan	1940	\N	actor,producer	tt0471571
nm0616735	Jake Myers	\N	\N	producer,production_manager,miscellaneous	tt4912910
nm0618057	Ulrich Mühe	1953	2007	actor,director	tt0405094
nm0618897	A.G. Nadiadwala	\N	\N	producer,miscellaneous	tt0242519
nm0618936	Usha Nadkarni	\N	\N	actress	tt2085783
nm0619047	Anant Nag	1948	\N	actor	tt0986329,tt4909506
nm0619110	Tatsuya Nagamine	\N	\N	director,animation_department,art_department	tt2375379
nm0619309	Nagesh	1933	2009	actor,sound_department	tt0385928
nm0619895	Ron Najor	\N	\N	producer,director,camera_department	tt2370248
nm0619923	Olivier Nakache	1973	\N	director,writer,producer	tt1675434
nm0620017	Kazuya Nakai	1967	\N	actor,soundtrack	tt2375379
nm0620124	Jôji Nakata	1954	\N	actor	tt1278060
nm0620351	Giorgi Nakashidze	\N	\N	actor	tt2991224
nm0620451	Keiji Nakazawa	1939	2012	writer,producer,director	tt0911010
nm0620457	Toshiaki Nakazawa	\N	\N	producer	tt1069238
nm0621066	Napolean	\N	\N	actor	tt0364647
nm0621937	Nassar	1958	\N	actor,director,writer	tt0367495,tt1857670,tt2375559,tt3569782,tt4987556,tt6076366
nm0622407	Yui Natsukawa	1968	\N	actress	tt1087578
nm0622838	Bertha Navarro	\N	\N	producer,director,actress	tt0457430
nm0623715	Mark Neale	\N	\N	director,writer,producer	tt4973112
nm0625904	Cristian Nemescu	1979	2006	director,writer,producer	tt0805188
nm0627560	Boris Nevzorov	1950	\N	actor,director	tt3560686
nm0628601	Thandie Newton	1972	\N	actress,soundtrack,producer	tt0454921
nm0632017	Martina Niland	\N	\N	producer,production_manager	tt3544112
nm0633272	Robert Nixon	\N	\N	director,producer,writer	tt2004304
nm0634240	Christopher Nolan	1970	\N	writer,producer,director	tt0209144,tt0372784,tt0468569,tt0482571,tt0816692,tt1345836,tt1375666
nm0636235	Jim Norton	1938	\N	actor,soundtrack	tt4476736
nm0636675	Jehane Noujaim	1974	\N	director,cinematographer,producer	tt2486682
nm0637493	Cyrus Nowrasteh	1956	\N	writer,producer,miscellaneous	tt1277737
nm0639297	Elmo Nüganen	1962	\N	actor,director,writer	tt2991224
nm0639337	Richard O'Barry	1939	\N	actor,miscellaneous,camera_department	tt1313104
nm0640334	Gavin O'Connor	1963	\N	producer,director,writer	tt1291584
nm0640345	Greg O'Connor	\N	\N	producer,writer,executive	tt1291584
nm0643348	Akshay Oberoi	\N	\N	actor	tt5600714
nm0643553	Lynda Obst	\N	\N	producer,writer	tt0816692
nm0644527	Megumi Ogata	1965	\N	actress,soundtrack	tt0860906
nm0644858	Mustafa Oguz	\N	\N	producer,actor	tt2150209
nm0645500	Akemi Okamura	1969	\N	actress,soundtrack	tt2375379
nm0645574	Steven Okazaki	1952	\N	director,producer,editor	tt0911010
nm0645683	Sophie Okonedo	1968	\N	actress	tt0395169
nm0650038	Lorne Orleans	\N	\N	producer,production_manager,miscellaneous	tt0372784,tt0434409,tt0468569
nm0651534	Takao Ohsawa	1968	\N	actor,producer	tt2140203
nm0651614	Barrie M. Osborne	1944	\N	producer,production_manager,assistant_director	tt0120737,tt0167260,tt0167261
nm0651660	Holmes Osborne	1947	\N	actor	tt0246578
nm0651900	Mamoru Oshii	1951	\N	director,writer,art_department	tt1260502
nm0652443	Arsen A. Ostojic	1965	\N	assistant_director,director,producer	tt2244877
nm0652663	Patton Oswalt	1969	\N	actor,writer,producer	tt0382932
nm0652855	Manny Oteyza	\N	\N	producer,production_manager,miscellaneous	tt2545118
nm0654110	Clive Owen	1964	\N	actor,producer,soundtrack	tt0401792
nm0654863	Rasim Öztekin	\N	\N	actor	tt0384116,tt0425333
nm0654874	Erdal Özyagcilar	1948	\N	actor	tt7642818
nm0655683	José Padilha	1967	\N	producer,director,writer	tt0861739,tt1555149
nm0656211	Jimmy Page	1944	\N	soundtrack,composer,actor	tt2414166
nm0656759	Jong-hak Baek	1964	\N	actor	tt0428870
nm0657085	Olga Pakalovic	1978	\N	actress,writer	tt2244877
nm0660622	Robert Kane Pappas	\N	\N	director,writer,actor	tt0410407
nm0660978	Parviz Parastui	1955	\N	actor,producer	tt0416960
nm0661289	Mary Parent	1968	\N	producer,production_manager,executive	tt1663202
nm0661791	Chan-wook Park	1963	\N	director,writer,producer	tt0364569,tt4016934
nm0662748	Walter F. Parkes	1951	\N	producer,writer,director	tt0264464
nm0662981	Michael Parks	1940	2017	actor,soundtrack,director	tt6019206
nm0665550	Ratna Pathak Shah	1963	\N	actress,miscellaneous	tt5005684
nm0666610	Parris Patton	\N	\N	editor,director,editorial_department	tt0462441
nm0667447	Vlad Paunescu	1953	\N	producer,cinematographer,miscellaneous	tt1194620
nm0667650	Frank Pavich	\N	\N	production_manager,producer,miscellaneous	tt1935156
nm0667734	Pawel Pawlikowski	1957	\N	director,writer,producer	tt6543652
nm0670408	Simon Pegg	1970	\N	actor,writer,producer	tt0796366,tt4912910
nm0671210	Mark Pellington	1962	\N	producer,director,miscellaneous	tt0892375
nm0672769	Stacy Peralta	1957	\N	director,producer,writer	tt2129928
nm0675017	Dana Heinz Perry	\N	\N	producer,director,camera_department	tt1327819
nm0675094	Hart Perry	\N	\N	director,cinematographer,producer	tt1327819
nm0677037	Bob Peterson	1961	\N	actor,writer,miscellaneous	tt1049413
nm0680983	Ellen Page	1987	\N	actress,producer,soundtrack	tt1375666
nm0683253	Rosamund Pike	1979	\N	actress,soundtrack	tt2267998
nm0683400	John Pilger	1939	\N	writer,director,producer	tt1029172,tt1809387
nm0684342	Jan Pinkava	1963	\N	producer,director,writer	tt0382932
nm0685277	Parsa Pirouzfar	1972	\N	actor	tt1874522
nm0686619	Robert Plant	1948	\N	soundtrack,actor,composer	tt2414166
nm0686887	Marc Platt	1957	\N	producer,executive	tt3783958
nm0688132	Amy Poehler	1971	\N	actress,producer,writer	tt2096673
nm0688361	Bill Pohlad	\N	\N	producer,director,writer	tt0758758
nm0688636	Laura Poitras	1964	\N	producer,cinematographer,director	tt4044364
nm0688789	Michael Polaire	\N	\N	producer,production_manager,location_management	tt0166924
nm0691088	Braxton Pope	\N	\N	producer,actor	tt0473453
nm0695038	Marcos Prado	1961	\N	producer,director,cinematographer	tt0861739,tt1555149
nm0695177	Prakash Raj	1965	\N	actor,producer,director	tt0366840,tt0376127,tt0455829,tt0471571,tt0843326,tt1034053,tt5039054,tt6980546
nm0695435	Chris Pratt	1979	\N	actor,soundtrack,producer	tt2015381
nm0696761	Alma Prica	1962	\N	actress	tt2244877
nm0698184	Priyadarshan	\N	\N	director,writer,actor	tt0242519
nm0698921	Danielle Proulx	1952	\N	actress	tt0401085
nm0700875	Om Puri	1950	2017	actor,music_department	tt2283748,tt4168188
nm0701650	György Pálfi	1974	\N	director,writer,miscellaneous	tt2243299
nm0704185	Mirjam Quinte	\N	\N	producer,director,writer	tt0478331
nm0704270	Zachary Quinto	1977	\N	actor,producer,writer	tt0796366
nm0704664	Ilmar Raag	1968	\N	director,writer,actor	tt0988108
nm0705356	Daniel Radcliffe	1989	\N	actor,soundtrack,producer	tt1201607
nm0706567	Pablo Rago	1972	\N	actor	tt1305806
nm0706721	Rahman	\N	\N	actor	tt1821682,tt2924472
nm0707399	Rajendraprasad	1956	\N	actor,music_department,producer	tt1601792
nm0708493	Dee Dee Ramone	1951	2002	soundtrack,actor,writer	tt0368711
nm0708497	Johnny Ramone	1948	2004	soundtrack,actor,music_department	tt0368711
nm0710549	Gajraj Rao	\N	\N	actor,producer	tt7725596
nm0710554	Hemanth Rao	1977	\N	writer,director,assistant_director	tt4909506
nm0710938	Kseniya Rappoport	1974	\N	actress,soundtrack	tt3274484
nm0711745	Mani Ratnam	1955	\N	writer,director,producer	tt0242256,tt0312859
nm0711840	Brett Ratner	1969	\N	producer,director,actor	tt3455822,tt5929776
nm0712546	Paresh Rawal	1950	\N	actor,producer,soundtrack	tt0242519,tt2283748,tt6452574
nm0714073	Tommy Ramone	1949	2014	soundtrack,actor,music_department	tt0368711
nm0718668	Christian Reitz	1960	\N	cinematographer,camera_department,producer	tt1998204
nm0718671	Edgar Reitz	1932	\N	director,writer,cinematographer	tt1998204
nm0719637	Jeremy Renner	1971	\N	actor,producer,soundtrack	tt0848228
nm0721707	Emer Reynolds	\N	\N	editor,director,writer	tt6223974
nm0722153	Trent Reznor	1965	\N	soundtrack,composer,actor	tt1545103
nm0726123	Thomas Riedelsheimer	1963	\N	cinematographer,director,editor	tt0307385
nm0729304	Jonas Rivera	\N	\N	producer,actor,miscellaneous	tt1049413
nm0729345	Mabel Rivera	1952	\N	actress	tt0369702
nm0733780	Enrique Rocha	1940	\N	actor	tt0493393
nm0736263	Daniel Roebuck	1963	\N	actor,producer,director	tt0419781
nm0736579	Joe Rogan	1967	\N	actor,writer,producer	tt1778338
nm0738918	Lou Romano	1972	\N	art_department,actor,animation_department	tt0382932
nm0742347	Tom Rosenberg	\N	\N	producer,executive,actor	tt0405159
nm0742651	Howard Rosenman	1945	\N	producer,actor,writer	tt5726616
nm0742761	Henry S. Rosenthal	\N	\N	producer,actor,miscellaneous	tt0436231
nm0744834	Eli Roth	1972	\N	producer,actor,writer	tt0361748
nm0746273	Charles Roven	1949	\N	producer,executive,actor	tt0372784,tt0468569,tt1345836
nm0747172	Ronit Roy	1965	\N	actor	tt1639426,tt2882328
nm0748620	Paul Rudd	1969	\N	actor,writer,producer	tt1659337
nm0748665	Albert S. Ruddy	1930	\N	writer,producer,miscellaneous	tt0405159
nm0748784	Scott Rudin	1958	\N	producer,miscellaneous,casting_director	tt0477348,tt2278388
nm0749104	Belén Rueda	1965	\N	actress,soundtrack	tt0369702
nm0749263	Mark Ruffalo	1967	\N	actor,producer,director	tt1130884,tt1895587,tt4154756
nm0751567	Aaron Russo	1943	2007	producer,director,actor	tt0772153
nm0751577	Anthony Russo	1970	\N	producer,director,writer	tt4154756
nm0751648	Joe Russo	1971	\N	producer,director,writer	tt4154756
nm0752925	Raisa Ryazanova	1944	\N	actress	tt3274484
nm0753083	Aaron Ryder	\N	\N	producer,miscellaneous,director	tt0482571
nm0754184	S.J. Surya	\N	\N	actor,writer,director	tt5477194,tt6485666
nm0754526	Christopher Sabat	1973	\N	actor,producer,miscellaneous	tt7745068
nm0754906	Hind Sabri	\N	\N	actress,director,producer	tt1826603
nm0755113	Sachin	1957	\N	actor,director,producer	tt5190958
nm0756380	Bhisham Sahni	\N	\N	actor,writer	tt0329393
nm0756533	Saikumar	\N	\N	actor,soundtrack	tt4888834
nm0757087	Maaya Sakamoto	1980	\N	actress,soundtrack,music_department	tt1278060
nm0757327	Takahiro Sakurai	1974	\N	actor,soundtrack,producer	tt2358913
nm0757855	Zoe Saldana	1978	\N	actress,producer,writer	tt2015381
nm0758204	Sebastião Salgado	1944	\N	cinematographer,camera_department	tt3674140
nm0759685	Ljubisa Samardzic	1936	2017	actor,producer,director	tt0209180
nm0760555	Marc Samuelson	\N	\N	producer,camera_department,miscellaneous	tt1698010
nm0760778	Fatima Sana Shaikh	1992	\N	actress	tt5074352
nm0761471	Bernie Sanders	1941	\N	actor,soundtrack	tt0410407
nm0761498	Chris Sanders	1962	\N	writer,actor,animation_department	tt0892769
nm0761744	Tim Sanders	\N	\N	producer,production_manager,location_management	tt0120737
nm0762781	Oles Sanin	\N	\N	director,actor,producer	tt3037582
nm0764316	Rajkumar Santoshi	\N	\N	writer,director,producer	tt0319736
nm0764853	Saranya Ponvannan	\N	\N	actress,music_department,soundtrack	tt1430836
nm0764877	Sarath Kumar	\N	\N	actor,producer,director	tt6980546
nm0764963	Alain Sarde	1952	\N	producer,actor,writer	tt0166924,tt0253474
nm0765308	Mike Sarkissian	\N	\N	producer,executive	tt1487275
nm0765597	Peter Sarsgaard	1971	\N	actor,producer	tt3784160
nm0766470	Sathyaraj	1954	\N	actor,producer	tt2631186
nm0767894	Pilar Savone	\N	\N	assistant_director,producer,miscellaneous	tt1853728
nm0769181	Stephen Scarlata	\N	\N	miscellaneous,camera_department,writer	tt1935156
nm0769644	Michael Schaefer	\N	\N	producer,assistant_director,miscellaneous	tt3659388
nm0770335	David Schaye	\N	\N	writer,producer	tt0413615
nm0771349	Richard Schickel	1933	2017	writer,director,producer	tt0379730
nm0773603	Julian Schnabel	1951	\N	director,writer,music_department	tt0401383
nm0775831	Stefan Schubert	1955	\N	producer,production_manager	tt0347048
nm0777978	Ralph Schwingel	1955	\N	producer,writer	tt0347048
nm0780098	Ronnie Screwvala	1962	\N	producer,miscellaneous,soundtrack	tt0405508,tt0466460,tt1280558,tt1327035,tt1524539,tt1620933,tt1639426,tt1857670,tt2082197,tt2146960
nm0780678	Nick Searcy	1959	\N	actor,director,writer	tt3722234
nm0782036	Tanya Seghatchian	1968	\N	producer,miscellaneous	tt6543652
nm0782561	Emmanuelle Seigner	1966	\N	actress,soundtrack	tt0401383
nm0783280	JoAnne Sellar	\N	\N	producer,miscellaneous	tt0469494
